"","Sample_size","Boundary","Percentage","Effect"
"1",40,"H1",0.49,"0"
"2",80,"H1",1.25,"0"
"3",120,"H1",1.52,"0"
"4",160,"H1",1.75,"0"
"5",200,"H1",1.92,"0"
"6",40,"H0",13.38,"0"
"7",80,"H0",39.64,"0"
"8",120,"H0",55.32,"0"
"9",160,"H0",64.74,"0"
"10",200,"H0",71.19,"0"
"11",40,"H1",2.13,"0.1"
"12",80,"H1",5.82,"0.1"
"13",120,"H1",9.01,"0.1"
"14",160,"H1",12.09,"0.1"
"15",200,"H1",14.85,"0.1"
"16",40,"H0",4.35,"0.1"
"17",80,"H0",14.18,"0.1"
"18",120,"H0",19.74,"0.1"
"19",160,"H0",23.14,"0.1"
"20",200,"H0",25.54,"0.1"
"21",40,"H1",23.61,"0.3"
"22",80,"H1",57.61,"0.3"
"23",120,"H1",78.2,"0.3"
"24",160,"H1",90.03,"0.3"
"25",200,"H1",95.65,"0.3"
"26",40,"H0",0.14,"0.3"
"27",80,"H0",0.3,"0.3"
"28",120,"H0",0.34,"0.3"
"29",160,"H0",0.35,"0.3"
"30",200,"H0",0.35,"0.3"
"31",40,"H1",78.01,"0.5"
"32",80,"H1",98.77,"0.5"
"33",120,"H1",99.94,"0.5"
"34",160,"H1",100,"0.5"
"35",200,"H1",100,"0.5"
"36",40,"H0",0,"0.5"
"37",80,"H0",0,"0.5"
"38",120,"H0",0,"0.5"
"39",160,"H0",0,"0.5"
"40",200,"H0",0,"0.5"
